Alpha;Beta;Iterations
0.23;0.16;1000
0.23;0.17;1000
0.23;0.18;1000
0.23;0.19;1000
0.23;0.2;1000
0.23;0.21;1000
0.23;0.22;1000
0.23;0.23;1000
0.24;0.0;1000
0.24;0.01;1000
0.24;0.02;1000
0.24;0.03;1000
0.24;0.04;1000
0.24;0.05;1000
0.24;0.06;1000
0.24;0.07;1000
0.24;0.08;1000
0.24;0.09;1000
0.24;0.1;1000
0.24;0.11;1000
0.24;0.12;1000
0.24;0.13;1000
0.24;0.14;1000
0.24;0.15;1000
0.24;0.16;1000
0.24;0.17;1000
0.24;0.18;1000
0.24;0.19;1000
0.24;0.2;1000
0.24;0.21;1000
0.24;0.22;1000
0.24;0.23;1000
0.24;0.24;1000
0.25;0.0;1000
0.25;0.01;1000
0.25;0.02;1000
0.25;0.03;1000
0.25;0.04;1000
0.25;0.05;1000
0.25;0.06;1000
0.25;0.07;1000
0.25;0.08;1000
0.25;0.09;1000
0.25;0.1;1000
0.25;0.11;1000
0.25;0.12;1000
0.25;0.13;1000
0.25;0.14;1000
0.25;0.15;1000
0.25;0.16;1000
0.25;0.17;1000
0.25;0.18;1000
0.25;0.19;1000
0.25;0.2;1000
0.25;0.21;1000
0.25;0.22;1000
0.25;0.23;1000
0.25;0.24;1000
0.25;0.25;1000
0.26;0.0;1000
0.26;0.01;1000
0.26;0.02;1000
0.26;0.03;1000
0.26;0.04;1000
0.26;0.05;1000
0.26;0.06;1000
0.26;0.07;1000
0.26;0.08;1000
0.26;0.09;1000
0.26;0.1;1000
0.26;0.11;1000
0.26;0.12;1000
0.26;0.13;1000
0.26;0.14;1000
0.26;0.15;1000
0.26;0.16;1000
0.26;0.17;1000
0.26;0.18;1000
0.26;0.19;1000
0.26;0.2;1000
0.26;0.21;1000
0.26;0.22;1000
0.26;0.23;1000
0.26;0.24;1000
0.26;0.25;1000
0.26;0.26;1000
0.27;0.0;1000
0.27;0.01;1000
0.27;0.02;1000
0.27;0.03;1000
0.27;0.04;1000
0.27;0.05;1000
0.27;0.06;1000
0.27;0.07;1000
0.27;0.08;1000
0.27;0.09;1000
0.27;0.1;1000
0.27;0.11;1000
0.27;0.12;1000
0.27;0.13;1000
0.27;0.14;1000
0.27;0.15;1000
0.27;0.16;1000
0.27;0.17;1000
0.27;0.18;1000
0.27;0.19;1000
0.27;0.2;1000
0.27;0.21;1000
0.27;0.22;1000
0.27;0.23;1000
0.27;0.24;1000
0.27;0.25;1000
0.27;0.26;1000
0.27;0.27;1000
0.28;0.0;1000
0.28;0.01;1000
0.28;0.02;1000
0.28;0.03;1000
0.28;0.04;1000
0.28;0.05;1000
0.28;0.06;1000
0.28;0.07;1000
0.28;0.08;1000
0.28;0.09;1000
0.28;0.1;1000
0.28;0.11;1000
0.28;0.12;1000
0.28;0.13;1000
0.28;0.14;1000
0.28;0.15;1000
0.28;0.16;1000
0.28;0.17;1000
0.28;0.18;1000
0.28;0.19;1000
0.28;0.2;1000
0.28;0.21;1000
0.28;0.22;1000
0.28;0.23;1000
0.28;0.24;1000
0.28;0.25;1000
0.28;0.26;1000
0.28;0.27;1000
0.28;0.28;1000
0.29;0.0;1000
0.29;0.01;1000
0.29;0.02;1000
0.29;0.03;1000
0.29;0.04;1000
0.29;0.05;1000
0.29;0.06;1000
0.29;0.07;1000
0.29;0.08;1000
0.29;0.09;1000
0.29;0.1;1000
0.29;0.11;1000
0.29;0.12;1000
0.29;0.13;1000
0.29;0.14;1000
0.29;0.15;1000
0.29;0.16;1000
0.29;0.17;1000
0.29;0.18;1000
0.29;0.19;1000
0.29;0.2;1000
0.29;0.21;1000
0.29;0.22;1000
0.29;0.23;1000
0.29;0.24;1000
0.29;0.25;1000
0.29;0.26;1000
0.29;0.27;1000
0.29;0.28;1000
0.29;0.29;1000
0.3;0.0;1000
0.3;0.01;1000
0.3;0.02;1000
0.3;0.03;1000
0.3;0.04;1000
0.3;0.05;1000
0.3;0.06;1000
0.3;0.07;1000
0.3;0.08;1000
0.3;0.09;1000
0.3;0.1;1000
0.3;0.11;1000
0.3;0.12;1000
0.3;0.13;1000
0.3;0.14;1000
0.3;0.15;1000
0.3;0.16;1000
0.3;0.17;1000
0.3;0.18;1000
0.3;0.19;1000
0.3;0.2;1000
0.3;0.21;1000
0.3;0.22;1000
0.3;0.23;1000
0.3;0.24;1000
0.3;0.25;1000
0.3;0.26;1000
0.3;0.27;1000
0.3;0.28;1000
0.3;0.29;1000
0.3;0.3;1000
0.31;0.0;1000
0.31;0.01;1000
0.31;0.02;1000
0.31;0.03;1000
0.31;0.04;1000
0.31;0.05;1000
0.31;0.06;1000
0.31;0.07;1000
0.31;0.08;1000
0.31;0.09;1000
0.31;0.1;1000
0.31;0.11;1000
0.31;0.12;1000
0.31;0.13;1000
0.31;0.14;1000
0.31;0.15;1000
0.31;0.16;1000
0.31;0.17;1000
0.31;0.18;1000
0.31;0.19;1000
0.31;0.2;1000
0.31;0.21;1000
0.31;0.22;1000
0.31;0.23;1000
0.31;0.24;1000
0.31;0.25;1000
0.31;0.26;1000
0.31;0.27;1000
0.31;0.28;1000
0.31;0.29;1000
0.31;0.3;1000
0.31;0.31;1000
0.32;0.0;1000
0.32;0.01;1000
0.32;0.02;1000
0.32;0.03;1000
0.32;0.04;1000
0.32;0.05;1000
0.32;0.06;1000
0.32;0.07;1000
0.32;0.08;1000
0.32;0.09;1000
0.32;0.1;1000
0.32;0.11;1000
0.32;0.12;1000
0.32;0.13;1000
0.32;0.14;1000
0.32;0.15;1000
0.32;0.16;1000
0.32;0.17;1000
0.32;0.18;1000
0.32;0.19;1000
0.32;0.2;1000
0.32;0.21;1000
0.32;0.22;1000
0.32;0.23;1000
0.32;0.24;1000
0.32;0.25;1000
0.32;0.26;51
0.32;0.27;1000
0.32;0.28;1000
0.32;0.29;1000
0.32;0.3;1000
0.32;0.31;1000
0.32;0.32;1000
0.33;0.0;1000
0.33;0.01;1000
0.33;0.02;1000
0.33;0.03;1000
0.33;0.04;1000
0.33;0.05;1000
0.33;0.06;1000
0.33;0.07;1000
0.33;0.08;1000
0.33;0.09;1000
0.33;0.1;1000
0.33;0.11;1000
0.33;0.12;1000
0.33;0.13;1000
0.33;0.14;1000
0.33;0.15;1000
0.33;0.16;1000
0.33;0.17;1000
0.33;0.18;1000
0.33;0.19;1000
0.33;0.2;1000
0.33;0.21;28
0.33;0.22;1000
0.33;0.23;1000
0.33;0.24;1000
0.33;0.25;1000
0.33;0.26;1000
0.33;0.27;1000
0.33;0.28;1000
0.33;0.29;1000
0.33;0.3;1000
0.33;0.31;1000
0.33;0.32;1000
0.33;0.33;1000
0.34;0.0;1000
0.34;0.01;1000
0.34;0.02;1000
0.34;0.03;1000
0.34;0.04;1000
0.34;0.05;1000
0.34;0.06;1000
0.34;0.07;1000
0.34;0.08;1000
0.34;0.09;1000
0.34;0.1;1000
0.34;0.11;1000
0.34;0.12;1000
0.34;0.13;1000
0.34;0.14;1000
0.34;0.15;1000
0.34;0.16;1000
0.34;0.17;1000
0.34;0.18;1000
0.34;0.19;1000
0.34;0.2;1000
0.34;0.21;1000
0.34;0.22;1000
0.34;0.23;1000
0.34;0.24;1000
0.34;0.25;1000
0.34;0.26;1000
0.34;0.27;1000
0.34;0.28;1000
0.34;0.29;1000
0.34;0.3;1000
0.34;0.31;1000
0.34;0.32;1000
0.34;0.33;1000
0.34;0.34;1000
0.35;0.0;1000
0.35;0.01;1000
0.35;0.02;1000
0.35;0.03;1000
0.35;0.04;1000
0.35;0.05;1000
0.35;0.06;1000
0.35;0.07;1000
0.35;0.08;1000
0.35;0.09;1000
0.35;0.1;1000
0.35;0.11;1000
0.35;0.12;1000
0.35;0.13;1000
0.35;0.14;1000
0.35;0.15;1000
0.35;0.16;1000
0.35;0.17;1000
0.35;0.18;1000
0.35;0.19;1000
0.35;0.2;1000
0.35;0.21;1000
0.35;0.22;1000
0.35;0.23;1000
0.35;0.24;1000
0.35;0.25;1000
0.35;0.26;70
0.35;0.27;1000
0.35;0.28;52
0.35;0.29;1000
0.35;0.3;1000
0.35;0.31;1000
0.35;0.32;1000
0.35;0.33;1000
0.35;0.34;1000
0.35;0.35;1000
0.36;0.0;1000
0.36;0.01;1000
0.36;0.02;1000
0.36;0.03;1000
0.36;0.04;1000
0.36;0.05;1000
0.36;0.06;1000
0.36;0.07;1000
0.36;0.08;1000
0.36;0.09;1000
0.36;0.1;1000
0.36;0.11;1000
0.36;0.12;1000
0.36;0.13;1000
0.36;0.14;1000
0.36;0.15;1000
0.36;0.16;1000
0.36;0.17;1000
0.36;0.18;1000
0.36;0.19;1000
0.36;0.2;1000
0.36;0.21;1000
0.36;0.22;1000
0.36;0.23;1000
0.36;0.24;1000
0.36;0.25;1000
0.36;0.26;1000
0.36;0.27;52
0.36;0.28;1000
0.36;0.29;1000
0.36;0.3;97
0.36;0.31;1000
0.36;0.32;1000
0.36;0.33;1000
0.36;0.34;152
0.36;0.35;319
0.36;0.36;1000
0.37;0.0;1000
0.37;0.01;1000
0.37;0.02;1000
0.37;0.03;1000
0.37;0.04;1000
0.37;0.05;1000
0.37;0.06;1000
0.37;0.07;1000
0.37;0.08;1000
0.37;0.09;1000
0.37;0.1;1000
0.37;0.11;1000
0.37;0.12;1000
0.37;0.13;1000
0.37;0.14;12
0.37;0.15;23
0.37;0.16;18
0.37;0.17;20
0.37;0.18;19
0.37;0.19;22
0.37;0.2;24
0.37;0.21;27
0.37;0.22;30
0.37;0.23;35
0.37;0.24;1000
0.37;0.25;62
0.37;0.26;76
0.37;0.27;1000
0.37;0.28;1000
0.37;0.29;1000
0.37;0.3;1000
0.37;0.31;1000
0.37;0.32;71
0.37;0.33;77
0.37;0.34;108
0.37;0.35;165
0.37;0.36;339
0.37;0.37;1000
0.38;0.0;122
0.38;0.01;341
0.38;0.02;1000
0.38;0.03;1000
0.38;0.04;1000
0.38;0.05;1000
0.38;0.06;1000
0.38;0.07;1000
0.38;0.08;1000
0.38;0.09;1000
0.38;0.1;1000
0.38;0.11;1000
0.38;0.12;1000
0.38;0.13;44
0.38;0.14;24
0.38;0.15;15
0.38;0.16;17
0.38;0.17;16
0.38;0.18;18
0.38;0.19;18
0.38;0.2;21
0.38;0.21;20
0.38;0.22;23
0.38;0.23;25
0.38;0.24;28
0.38;0.25;31
0.38;0.26;36
0.38;0.27;41
0.38;0.28;47
0.38;0.29;49
0.38;0.3;49
0.38;0.31;48
0.38;0.32;52
0.38;0.33;64
0.38;0.34;82
0.38;0.35;112
0.38;0.36;175
0.38;0.37;356
0.38;0.38;1000
0.39;0.0;1000
0.39;0.01;1000
0.39;0.02;1000
0.39;0.03;1000
0.39;0.04;1000
0.39;0.05;1000
0.39;0.06;1000
0.39;0.07;1000
0.39;0.08;1000
0.39;0.09;1000
0.39;0.1;1000
0.39;0.11;1000
0.39;0.12;41
0.39;0.13;24
0.39;0.14;18
0.39;0.15;14
0.39;0.16;16
0.39;0.17;15
0.39;0.18;17
0.39;0.19;17
0.39;0.2;17
0.39;0.21;20
0.39;0.22;22
0.39;0.23;22
0.39;0.24;24
0.39;0.25;27
0.39;0.26;30
0.39;0.27;35
0.39;0.28;35
0.39;0.29;37
0.39;0.3;36
0.39;0.31;40
0.39;0.32;48
0.39;0.33;55
0.39;0.34;67
0.39;0.35;87
0.39;0.36;116
0.39;0.37;177
0.39;0.38;363
0.39;0.39;1000
0.4;0.0;1000
0.4;0.01;1000
0.4;0.02;1000
0.4;0.03;1000
0.4;0.04;1000
0.4;0.05;1000
0.4;0.06;1000
0.4;0.07;1000
0.4;0.08;1000
0.4;0.09;1000
0.4;0.1;1000
0.4;0.11;23
0.4;0.12;18
0.4;0.13;17
0.4;0.14;14
0.4;0.15;13
0.4;0.16;15
0.4;0.17;15
0.4;0.18;14
0.4;0.19;17
0.4;0.2;16
0.4;0.21;19
0.4;0.22;19
0.4;0.23;21
0.4;0.24;24
0.4;0.25;26
0.4;0.26;26
0.4;0.27;29
0.4;0.28;31
0.4;0.29;30
0.4;0.3;32
0.4;0.31;37
0.4;0.32;42
0.4;0.33;49
0.4;0.34;58
0.4;0.35;70
0.4;0.36;89
0.4;0.37;120
0.4;0.38;182
0.4;0.39;370
0.4;0.4;1000
0.41;0.0;1000
0.41;0.01;1000
0.41;0.02;1000
0.41;0.03;1000
0.41;0.04;1000
0.41;0.05;1000
0.41;0.06;1000
0.41;0.07;1000
0.41;0.08;1000
0.41;0.09;1000
0.41;0.1;46
0.41;0.11;20
0.41;0.12;8
0.41;0.13;14
0.41;0.14;13
0.41;0.15;12
0.41;0.16;14
0.41;0.17;14
0.41;0.18;14
0.41;0.19;16
0.41;0.2;16
0.41;0.21;18
0.41;0.22;18
0.41;0.23;21
0.41;0.24;21
0.41;0.25;23
0.41;0.26;25
0.41;0.27;25
0.41;0.28;27
0.41;0.29;27
0.41;0.3;31
0.41;0.31;33
0.41;0.32;38
0.41;0.33;45
0.41;0.34;52
0.41;0.35;59
0.41;0.36;73
0.41;0.37;94
0.41;0.38;124
0.41;0.39;187
0.41;0.4;380
0.41;0.41;1000
0.42;0.0;1000
0.42;0.01;1000
0.42;0.02;1000
0.42;0.03;1000
0.42;0.04;1000
0.42;0.05;1000
0.42;0.06;1000
0.42;0.07;1000
0.42;0.08;1000
0.42;0.09;53
0.42;0.1;26
0.42;0.11;16
0.42;0.12;9
0.42;0.13;12
0.42;0.14;12
0.42;0.15;11
0.42;0.16;14
0.42;0.17;14
0.42;0.18;13
0.42;0.19;16
0.42;0.2;15
0.42;0.21;18
0.42;0.22;18
0.42;0.23;20
0.42;0.24;20
0.42;0.25;22
0.42;0.26;22
0.42;0.27;22
0.42;0.28;24
0.42;0.29;26
0.42;0.3;28
0.42;0.31;33
0.42;0.32;35
0.42;0.33;40
0.42;0.34;44
0.42;0.35;53
0.42;0.36;62
0.42;0.37;76
0.42;0.38;94
0.42;0.39;131
0.42;0.4;199
0.42;0.41;390
0.42;0.42;1000
0.43;0.0;1000
0.43;0.01;1000
0.43;0.02;1000
0.43;0.03;1000
0.43;0.04;1000
0.43;0.05;1000
0.43;0.06;1000
0.43;0.07;1000
0.43;0.08;58
0.43;0.09;30
0.43;0.1;19
0.43;0.11;13
0.43;0.12;8
0.43;0.13;12
0.43;0.14;11
0.43;0.15;11
0.43;0.16;13
0.43;0.17;13
0.43;0.18;13
0.43;0.19;15
0.43;0.2;15
0.43;0.21;15
0.43;0.22;17
0.43;0.23;17
0.43;0.24;19
0.43;0.25;19
0.43;0.26;19
0.43;0.27;21
0.43;0.28;23
0.43;0.29;25
0.43;0.3;27
0.43;0.31;30
0.43;0.32;32
0.43;0.33;36
0.43;0.34;41
0.43;0.35;48
0.43;0.36;54
0.43;0.37;63
0.43;0.38;79
0.43;0.39;99
0.43;0.4;130
0.43;0.41;204
0.43;0.42;400
0.43;0.43;1000
0.44;0.0;1000
0.44;0.01;1000
0.44;0.02;1000
0.44;0.03;1000
0.44;0.04;1000
0.44;0.05;1000
0.44;0.06;1000
0.44;0.07;62
0.44;0.08;32
0.44;0.09;21
0.44;0.1;15
0.44;0.11;11
0.44;0.12;8
0.44;0.13;11
0.44;0.14;11
0.44;0.15;10
0.44;0.16;13
0.44;0.17;13
0.44;0.18;12
0.44;0.19;15
0.44;0.2;15
0.44;0.21;14
0.44;0.22;17
0.44;0.23;17
0.44;0.24;16
0.44;0.25;19
0.44;0.26;18
0.44;0.27;20
0.44;0.28;20
0.44;0.29;23
0.44;0.3;27
0.44;0.31;29
0.44;0.32;31
0.44;0.33;33
0.44;0.34;38
0.44;0.35;42
0.44;0.36;49
0.44;0.37;55
0.44;0.38;64
0.44;0.39;77
0.44;0.4;99
0.44;0.41;134
0.44;0.42;204
0.44;0.43;410
0.44;0.44;1000
0.45;0.0;1000
0.45;0.01;1000
0.45;0.02;1000
0.45;0.03;1000
0.45;0.04;1000
0.45;0.05;1000
0.45;0.06;66
0.45;0.07;35
0.45;0.08;23
0.45;0.09;17
0.45;0.1;13
0.45;0.11;9
0.45;0.12;10
0.45;0.13;11
0.45;0.14;10
0.45;0.15;10
0.45;0.16;12
0.45;0.17;12
0.45;0.18;12
0.45;0.19;14
0.45;0.2;14
0.45;0.21;14
0.45;0.22;16
0.45;0.23;16
0.45;0.24;16
0.45;0.25;18
0.45;0.26;18
0.45;0.27;20
0.45;0.28;20
0.45;0.29;22
0.45;0.3;24
0.45;0.31;26
0.45;0.32;29
0.45;0.33;33
0.45;0.34;35
0.45;0.35;39
0.45;0.36;44
0.45;0.37;50
0.45;0.38;59
0.45;0.39;67
0.45;0.4;80
0.45;0.41;104
0.45;0.42;138
0.45;0.43;207
0.45;0.44;420
0.45;0.45;1000
0.46;0.0;1000
0.46;0.01;1000
0.46;0.02;1000
0.46;0.03;1000
0.46;0.04;1000
0.46;0.05;70
0.46;0.06;37
0.46;0.07;25
0.46;0.08;18
0.46;0.09;14
0.46;0.1;11
0.46;0.11;8
0.46;0.12;10
0.46;0.13;10
0.46;0.14;10
0.46;0.15;10
0.46;0.16;12
0.46;0.17;12
0.46;0.18;12
0.46;0.19;14
0.46;0.2;14
0.46;0.21;14
0.46;0.22;14
0.46;0.23;16
0.46;0.24;16
0.46;0.25;15
0.46;0.26;17
0.46;0.27;17
0.46;0.28;20
0.46;0.29;22
0.46;0.3;24
0.46;0.31;26
0.46;0.32;28
0.46;0.33;30
0.46;0.34;32
0.46;0.35;34
0.46;0.36;41
0.46;0.37;45
0.46;0.38;51
0.46;0.39;60
0.46;0.4;68
0.46;0.41;83
0.46;0.42;104
0.46;0.43;140
0.46;0.44;212
0.46;0.45;430
0.46;0.46;1000
0.47;0.0;1000
0.47;0.01;1000
0.47;0.02;1000
0.47;0.03;1000
0.47;0.04;73
0.47;0.05;39
0.47;0.06;26
0.47;0.07;19
0.47;0.08;15
0.47;0.09;12
0.47;0.1;9
0.47;0.11;8
0.47;0.12;10
0.47;0.13;10
0.47;0.14;10
0.47;0.15;9
0.47;0.16;12
0.47;0.17;12
0.47;0.18;11
0.47;0.19;11
0.47;0.2;13
0.47;0.21;13
0.47;0.22;13
0.47;0.23;15
0.47;0.24;15
0.47;0.25;15
0.47;0.26;17
0.47;0.27;19
0.47;0.28;19
0.47;0.29;21
0.47;0.3;21
0.47;0.31;23
0.47;0.32;25
0.47;0.33;28
0.47;0.34;32
0.47;0.35;34
0.47;0.36;38
0.47;0.37;42
0.47;0.38;46
0.47;0.39;53
0.47;0.4;61
0.47;0.41;69
0.47;0.42;88
0.47;0.43;111
0.47;0.44;144
0.47;0.45;217
0.47;0.46;438
0.47;0.47;1000
0.48;0.0;1000
0.48;0.01;1000
0.48;0.02;1000
0.48;0.03;76
0.48;0.04;40
0.48;0.05;27
0.48;0.06;20
0.48;0.07;16
0.48;0.08;13
0.48;0.09;11
0.48;0.1;8
0.48;0.11;7
0.48;0.12;10
0.48;0.13;10
0.48;0.14;9
0.48;0.15;9
0.48;0.16;11
0.48;0.17;11
0.48;0.18;11
0.48;0.19;11
0.48;0.2;13
0.48;0.21;13
0.48;0.22;13
0.48;0.23;15
0.48;0.24;15
0.48;0.25;15
0.48;0.26;17
0.48;0.27;19
0.48;0.28;19
0.48;0.29;21
0.48;0.3;21
0.48;0.31;23
0.48;0.32;25
0.48;0.33;27
0.48;0.34;29
0.48;0.35;31
0.48;0.36;33
0.48;0.37;37
0.48;0.38;42
0.48;0.39;48
0.48;0.4;54
0.48;0.41;62
0.48;0.42;72
0.48;0.43;91
0.48;0.44;109
0.48;0.45;146
0.48;0.46;222
0.48;0.47;448
0.48;0.48;1000
0.49;0.0;1000
0.49;0.01;1000
0.49;0.02;79
0.49;0.03;42
0.49;0.04;29
0.49;0.05;21
0.49;0.06;17
0.49;0.07;14
0.49;0.08;11
0.49;0.09;9
0.49;0.1;8
0.49;0.11;9
0.49;0.12;9
0.49;0.13;9
0.49;0.14;9
0.49;0.15;11
0.49;0.16;11
0.49;0.17;11
0.49;0.18;11
0.49;0.19;11
0.49;0.2;13
0.49;0.21;13
0.49;0.22;13
0.49;0.23;12
0.49;0.24;15
0.49;0.25;14
0.49;0.26;17
0.49;0.27;17
0.49;0.28;19
0.49;0.29;19
0.49;0.3;21
0.49;0.31;23
0.49;0.32;25
0.49;0.33;27
0.49;0.34;29
0.49;0.35;31
0.49;0.36;33
0.49;0.37;37
0.49;0.38;39
0.49;0.39;45
0.49;0.4;49
0.49;0.41;55
0.49;0.42;63
0.49;0.43;73
0.49;0.44;92
0.49;0.45;116
0.49;0.46;150
0.49;0.47;225
0.49;0.48;456
0.49;0.49;1000
0.5;0.0;1000
0.5;0.01;83
0.5;0.02;44
0.5;0.03;30
0.5;0.04;22
0.5;0.05;18
0.5;0.06;15
0.5;0.07;12
0.5;0.08;10
0.5;0.09;8
0.5;0.1;7
0.5;0.11;9
0.5;0.12;9
0.5;0.13;9
0.5;0.14;9
0.5;0.15;9
0.5;0.16;11
0.5;0.17;11
0.5;0.18;11
0.5;0.19;10
0.5;0.2;12
0.5;0.21;12
0.5;0.22;12
0.5;0.23;14
0.5;0.24;14
0.5;0.25;14
0.5;0.26;16
0.5;0.27;16
0.5;0.28;18
0.5;0.29;18
0.5;0.3;20
0.5;0.31;20
0.5;0.32;22
0.5;0.33;24
0.5;0.34;26
0.5;0.35;28
0.5;0.36;30
0.5;0.37;32
0.5;0.38;36
0.5;0.39;40
0.5;0.4;44
0.5;0.41;48
0.5;0.42;54
